00001 A00     0 Cholera                                                      Cholera
00657 A91     1 Dengue hemorrhagic fever                                     Dengue hemorrhagic fever
00658 A92     0 Other mosquito-borne viral fevers                            Other mosquito-borne viral fevers
00659 A920    1 Chikungunya virus disease                                    Chikungunya virus disease
00660 A921    1 O'nyong-nyong fever                                          O'nyong-nyong fever
00661 A922    1 Venezuelan equine fever                                      Venezuelan equine fever
00662 A923    0 West Nile virus infection                                    West Nile virus infection
00663 A9230   1 West Nile virus infection, unspecified                       West Nile virus infection, unspecified
00664 A9231   1 West Nile virus infection with encephalitis                  West Nile virus infection with encephalitis
00665 A9232   1 West Nile virus infection with oth neurologic manifestation  West Nile virus infection with other neurologic manifestation
00666 A9239   1 West Nile virus infection with other complications           West Nile virus infection with other complications
00667 A924    1 Rift Valley fever                                            Rift Valley fever
00668 A925    1 Zika virus disease                                           Zika virus disease
00669 A928    1 Other specified mosquito-borne viral fevers                  Other specified mosquito-borne viral fevers
00670 A929    1 Mosquito-borne viral fever, unspecified                      Mosquito-borne viral fever, unspecified
00671 A93     0 Other arthropod-borne viral fevers, not elsewhere classified Other arthropod-borne viral fevers, not elsewhere classified
00672 A930    1 Oropouche virus disease                                      Oropouche virus disease
00673 A931    1 Sandfly fever                                                Sandfly fever
00674 A932    1 Colorado tick fever                                          Colorado tick fever
00675 A938    1 Other specified arthropod-borne viral fevers                 Other specified arthropod-borne viral fevers
00676 A94     1 Unspecified arthropod-borne viral fever                      Unspecified arthropod-borne viral fever
00677 A95     0 Yellow fever                                                 Yellow fever
00678 A950    1 Sylvatic yellow fever                                        Sylvatic yellow fever
00679 A951    1 Urban yellow fever                                           Urban yellow fever
00680 A959    1 Yellow fever, unspecified                                    Yellow fever, unspecified
00681 A96     0 Arenaviral hemorrhagic fever                                 Arenaviral hemorrhagic fever
00682 A960    1 Junin hemorrhagic fever                                      Junin hemorrhagic fever
00683 A961    1 Machupo hemorrhagic fever                                    Machupo hemorrhagic fever
00684 A962    1 Lassa fever                                                  Lassa fever
00685 A968    1 Other arenaviral hemorrhagic fevers                          Other arenaviral hemorrhagic fevers
00686 A969    1 Arenaviral hemorrhagic fever, unspecified                    Arenaviral hemorrhagic fever, unspecified
00687 A98     0 Other viral hemorrhagic fevers, not elsewhere classified     Other viral hemorrhagic fevers, not elsewhere classified
00688 A980    1 Crimean-Congo hemorrhagic fever                              Crimean-Congo hemorrhagic fever
00689 A981    1 Omsk hemorrhagic fever                                       Omsk hemorrhagic fever
00690 A982    1 Kyasanur Forest disease                                      Kyasanur Forest disease
00691 A983    1 Marburg virus disease                                        Marburg virus disease
00692 A984    1 Ebola virus disease                                          Ebola virus disease
00693 A985    1 Hemorrhagic fever with renal syndrome                        Hemorrhagic fever with renal syndrome
00694 A988    1 Other specified viral hemorrhagic fevers                     Other specified viral hemorrhagic fevers
00695 A99     1 Unspecified viral hemorrhagic fever                          Unspecified viral hemorrhagic fever
00696 B00     0 Herpesviral [herpes simplex] infections                      Herpesviral [herpes simplex] infections
00697 B000    1 Eczema herpeticum                                            Eczema herpeticum
00698 B001    1 Herpesviral vesicular dermatitis                             Herpesviral vesicular dermatitis
00699 B002    1 Herpesviral gingivostomatitis and pharyngotonsillitis        Herpesviral gingivostomatitis and pharyngotonsillitis
00700 B003    1 Herpesviral meningitis                                       Herpesviral meningitis
00701 B004    1 Herpesviral encephalitis                                     Herpesviral encephalitis
00702 B005    0 Herpesviral ocular disease                                   Herpesviral ocular disease
00703 B0050   1 Herpesviral ocular disease, unspecified                      Herpesviral ocular disease, unspecified
00704 B0051   1 Herpesviral iridocyclitis                                    Herpesviral iridocyclitis
00705 B0052   1 Herpesviral keratitis                                        Herpesviral keratitis
00706 B0053   1 Herpesviral conjunctivitis                                   Herpesviral conjunctivitis
00707 B0059   1 Other herpesviral disease of eye                             Other herpesviral disease of eye
00708 B007    1 Disseminated herpesviral disease                             Disseminated herpesviral disease
00709 B008    0 Other forms of herpesviral infections                        Other forms of herpesviral infections
00710 B0081   1 Herpesviral hepatitis                                        Herpesviral hepatitis
00711 B0082   1 Herpes simplex myelitis                                      Herpes simplex myelitis
00712 B0089   1 Other herpesviral infection                                  Other herpesviral infection
00713 B009    1 Herpesviral infection, unspecified                           Herpesviral infection, unspecified
00714 B01     0 Varicella [chickenpox]                                       Varicella [chickenpox]
00715 B010    1 Varicella meningitis                                         Varicella meningitis
00716 B011    0 Varicella encephalitis, myelitis and encephalomyelitis       Varicella encephalitis, myelitis and encephalomyelitis
00717 B0111   1 Varicella encephalitis and encephalomyelitis                 Varicella encephalitis and encephalomyelitis
00718 B0112   1 Varicella myelitis                                           Varicella myelitis
00719 B012    1 Varicella pneumonia                                          Varicella pneumonia
00720 B018    0 Varicella with other complications                           Varicella with other complications
00721 B0181   1 Varicella keratitis                                          Varicella keratitis
00722 B0189   1 Other varicella complications                                Other varicella complications
00723 B019    1 Varicella without complication                               Varicella without complication
00724 B02     0 Zoster [herpes zoster]                                       Zoster [herpes zoster]
00725 B020    1 Zoster encephalitis                                          Zoster encephalitis
00726 B021    1 Zoster meningitis                                            Zoster meningitis
00727 B022    0 Zoster with other nervous system involvement                 Zoster with other nervous system involvement
00728 B0221   1 Postherpetic geniculate ganglionitis                         Postherpetic geniculate ganglionitis
00729 B0222   1 Postherpetic trigeminal neuralgia                            Postherpetic trigeminal neuralgia
00730 B0223   1 Postherpetic polyneuropathy                                  Postherpetic polyneuropathy
00731 B0224   1 Postherpetic myelitis                                        Postherpetic myelitis
00732 B0229   1 Other postherpetic nervous system involvement                Other postherpetic nervous system involvement
00733 B023    0 Zoster ocular disease                                        Zoster ocular disease
00734 B0230   1 Zoster ocular disease, unspecified                           Zoster ocular disease, unspecified
00735 B0231   1 Zoster conjunctivitis                                        Zoster conjunctivitis
00736 B0232   1 Zoster iridocyclitis                                         Zoster iridocyclitis
00737 B0233   1 Zoster keratitis                                             Zoster keratitis
00738 B0234   1 Zoster scleritis                                             Zoster scleritis
00739 B0239   1 Other herpes zoster eye disease                              Other herpes zoster eye disease
00740 B027    1 Disseminated zoster                                          Disseminated zoster
00741 B028    1 Zoster with other complications                              Zoster with other complications
00742 B029    1 Zoster without complications                                 Zoster without complications
00743 B03     1 Smallpox                                                     Smallpox
00744 B04     1 Monkeypox                                                    Monkeypox
00745 B05     0 Measles                                                      Measles
00746 B050    1 Measles complicated by encephalitis                          Measles complicated by encephalitis
00747 B051    1 Measles complicated by meningitis                            Measles complicated by meningitis
00748 B052    1 Measles complicated by pneumonia                             Measles complicated by pneumonia
00749 B053    1 Measles complicated by otitis media                          Measles complicated by otitis media
00750 B054    1 Measles with intestinal complications                        Measles with intestinal complications
00751 B058    0 Measles with other complications                             Measles with other complications
00752 B0581   1 Measles keratitis and keratoconjunctivitis                   Measles keratitis and keratoconjunctivitis
00753 B0589   1 Other measles complications                                  Other measles complications
00754 B059    1 Measles without complication                                 Measles without complication
00755 B06     0 Rubella [German measles]                                     Rubella [German measles]
00756 B060    0 Rubella with neurological complications                      Rubella with neurological complications
00757 B0600   1 Rubella with neurological complication, unspecified          Rubella with neurological complication, unspecified
00758 B0601   1 Rubella encephalitis                                         Rubella encephalitis
00759 B0602   1 Rubella meningitis                                           Rubella meningitis
00760 B0609   1 Other neurological complications of rubella                  Other neurological complications of rubella
00761 B068    0 Rubella with other complications                             Rubella with other complications
00762 B0681   1 Rubella pneumonia                                            Rubella pneumonia
00763 B0682   1 Rubella arthritis                                            Rubella arthritis
00764 B0689   1 Other rubella complications                                  Other rubella complications
00765 B069    1 Rubella without complication                                 Rubella without complication
00766 B07     0 Viral warts                                                  Viral warts
00767 B070    1 Plantar wart                                                 Plantar wart
00768 B078    1 Other viral warts                                            Other viral warts
00769 B079    1 Viral wart, unspecified                                      Viral wart, unspecified
00770 B08     0 Oth viral infect with skin and mucous membrane lesions, NEC  Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified
00771 B080    0 Other orthopoxvirus infections                               Other orthopoxvirus infections
00772 B0801   0 Cowpox and vaccinia not from vaccine                         Cowpox and vaccinia not from vaccine
00773 B08010  1 Cowpox                                                       Cowpox
00774 B08011  1 Vaccinia not from vaccine                                    Vaccinia not from vaccine
00775 B0802   1 Orf virus disease                                            Orf virus disease
00776 B0803   1 Pseudocowpox [milker's node]                                 Pseudocowpox [milker's node]
00777 B0804   1 Paravaccinia, unspecified                                    Paravaccinia, unspecified
00778 B0809   1 Other orthopoxvirus infections                               Other orthopoxvirus infections
00779 B081    1 Molluscum contagiosum                                        Molluscum contagiosum
00780 B082    0 Exanthema subitum [sixth disease]                            Exanthema subitum [sixth disease]
00781 B0820   1 Exanthema subitum [sixth disease], unspecified               Exanthema subitum [sixth disease], unspecified
00782 B0821   1 Exanthema subitum [sixth disease] due to human herpesvirus 6 Exanthema subitum [sixth disease] due to human herpesvirus 6
00783 B0822   1 Exanthema subitum [sixth disease] due to human herpesvirus 7 Exanthema subitum [sixth disease] due to human herpesvirus 7
00784 B083    1 Erythema infectiosum [fifth disease]                         Erythema infectiosum [fifth disease]
00785 B084    1 Enteroviral vesicular stomatitis with exanthem               Enteroviral vesicular stomatitis with exanthem
00786 B085    1 Enteroviral vesicular pharyngitis                            Enteroviral vesicular pharyngitis
00787 B086    0 Parapoxvirus infections                                      Parapoxvirus infections
00788 B0860   1 Parapoxvirus infection, unspecified                          Parapoxvirus infection, unspecified
00789 B0861   1 Bovine stomatitis                                            Bovine stomatitis
00790 B0862   1 Sealpox                                                      Sealpox
00791 B0869   1 Other parapoxvirus infections                                Other parapoxvirus infections
00792 B087    0 Yatapoxvirus infections                                      Yatapoxvirus infections
00793 B0870   1 Yatapoxvirus infection, unspecified                          Yatapoxvirus infection, unspecified
00794 B0871   1 Tanapox virus disease                                        Tanapox virus disease
00795 B0872   1 Yaba pox virus disease                                       Yaba pox virus disease
00796 B0879   1 Other yatapoxvirus infections                                Other yatapoxvirus infections
00797 B088    1 Oth viral infections with skin and mucous membrane lesions   Other specified viral infections characterized by skin and mucous membrane lesions
00798 B09     1 Unsp viral infection with skin and mucous membrane lesions   Unspecified viral infection characterized by skin and mucous membrane lesions
00799 B10     0 Other human herpesviruses                                    Other human herpesviruses
00800 B100    0 Other human herpesvirus encephalitis                         Other human herpesvirus encephalitis
00801 B1001   1 Human herpesvirus 6 encephalitis                             Human herpesvirus 6 encephalitis
00802 B1009   1 Other human herpesvirus encephalitis                         Other human herpesvirus encephalitis
00803 B108    0 Other human herpesvirus infection                            Other human herpesvirus infection
00804 B1081   1 Human herpesvirus 6 infection                                Human herpesvirus 6 infection
00805 B1082   1 Human herpesvirus 7 infection                                Human herpesvirus 7 infection
00806 B1089   1 Other human herpesvirus infection                            Other human herpesvirus infection
00807 B15     0 Acute hepatitis A                                            Acute hepatitis A
00808 B150    1 Hepatitis A with hepatic coma                                Hepatitis A with hepatic coma
00809 B159    1 Hepatitis A without hepatic coma                             Hepatitis A without hepatic coma
00810 B16     0 Acute hepatitis B                                            Acute hepatitis B
00811 B160    1 Acute hepatitis B with delta-agent with hepatic coma         Acute hepatitis B with delta-agent with hepatic coma
00812 B161    1 Acute hepatitis B with delta-agent without hepatic coma      Acute hepatitis B with delta-agent without hepatic coma
00813 B162    1 Acute hepatitis B without delta-agent with hepatic coma      Acute hepatitis B without delta-agent with hepatic coma
00814 B169    1 Acute hepatitis B w/o delta-agent and without hepatic coma   Acute hepatitis B without delta-agent and without hepatic coma
00815 B17     0 Other acute viral hepatitis                                  Other acute viral hepatitis
00816 B170    1 Acute delta-(super) infection of hepatitis B carrier         Acute delta-(super) infection of hepatitis B carrier
00817 B171    0 Acute hepatitis C                                            Acute hepatitis C
00818 B1710   1 Acute hepatitis C without hepatic coma                       Acute hepatitis C without hepatic coma
00819 B1711   1 Acute hepatitis C with hepatic coma                          Acute hepatitis C with hepatic coma
00820 B172    1 Acute hepatitis E                                            Acute hepatitis E
00821 B178    1 Other specified acute viral hepatitis                        Other specified acute viral hepatitis
00822 B179    1 Acute viral hepatitis, unspecified                           Acute viral hepatitis, unspecified
00823 B18     0 Chronic viral hepatitis                                      Chronic viral hepatitis
00824 B180    1 Chronic viral hepatitis B with delta-agent                   Chronic viral hepatitis B with delta-agent
00825 B181    1 Chronic viral hepatitis B without delta-agent                Chronic viral hepatitis B without delta-agent
00826 B182    1 Chronic viral hepatitis C                                    Chronic viral hepatitis C
00827 B188    1 Other chronic viral hepatitis                                Other chronic viral hepatitis
00828 B189    1 Chronic viral hepatitis, unspecified                         Chronic viral hepatitis, unspecified
00829 B19     0 Unspecified viral hepatitis                                  Unspecified viral hepatitis
00830 B190    1 Unspecified viral hepatitis with hepatic coma                Unspecified viral hepatitis with hepatic coma
00831 B191    0 Unspecified viral hepatitis B                                Unspecified viral hepatitis B
00832 B1910   1 Unspecified viral hepatitis B without hepatic coma           Unspecified viral hepatitis B without hepatic coma
00833 B1911   1 Unspecified viral hepatitis B with hepatic coma              Unspecified viral hepatitis B with hepatic coma
00834 B192    0 Unspecified viral hepatitis C                                Unspecified viral hepatitis C
00835 B1920   1 Unspecified viral hepatitis C without hepatic coma           Unspecified viral hepatitis C without hepatic coma
00836 B1921   1 Unspecified viral hepatitis C with hepatic coma              Unspecified viral hepatitis C with hepatic coma
00837 B199    1 Unspecified viral hepatitis without hepatic coma             Unspecified viral hepatitis without hepatic coma
00838 B20     1 Human immunodeficiency virus [HIV] disease                   Human immunodeficiency virus [HIV] disease
00839 B25     0 Cytomegaloviral disease                                      Cytomegaloviral disease
00840 B250    1 Cytomegaloviral pneumonitis                                  Cytomegaloviral pneumonitis
00841 B251    1 Cytomegaloviral hepatitis                                    Cytomegaloviral hepatitis
00842 B252    1 Cytomegaloviral pancreatitis                                 Cytomegaloviral pancreatitis
00843 B258    1 Other cytomegaloviral diseases                               Other cytomegaloviral diseases
00844 B259    1 Cytomegaloviral disease, unspecified                         Cytomegaloviral disease, unspecified
00845 B26     0 Mumps                                                        Mumps
00846 B260    1 Mumps orchitis                                               Mumps orchitis
00847 B261    1 Mumps meningitis                                             Mumps meningitis
00848 B262    1 Mumps encephalitis                                           Mumps encephalitis
00849 B263    1 Mumps pancreatitis                                           Mumps pancreatitis
00850 B268    0 Mumps with other complications                               Mumps with other complications
00851 B2681   1 Mumps hepatitis                                              Mumps hepatitis
00852 B2682   1 Mumps myocarditis                                            Mumps myocarditis
00853 B2683   1 Mumps nephritis                                              Mumps nephritis
00854 B2684   1 Mumps polyneuropathy                                         Mumps polyneuropathy
00855 B2685   1 Mumps arthritis                                              Mumps arthritis
00856 B2689   1 Other mumps complications                                    Other mumps complications
00857 B269    1 Mumps without complication                                   Mumps without complication
00858 B27     0 Infectious mononucleosis                                     Infectious mononucleosis
00859 B270    0 Gammaherpesviral mononucleosis                               Gammaherpesviral mononucleosis
00860 B2700   1 Gammaherpesviral mononucleosis without complication          Gammaherpesviral mononucleosis without complication
00861 B2701   1 Gammaherpesviral mononucleosis with polyneuropathy           Gammaherpesviral mononucleosis with polyneuropathy
00862 B2702   1 Gammaherpesviral mononucleosis with meningitis               Gammaherpesviral mononucleosis with meningitis
00863 B2709   1 Gammaherpesviral mononucleosis with other complications      Gammaherpesviral mononucleosis with other complications
00864 B271    0 Cytomegaloviral mononucleosis                                Cytomegaloviral mononucleosis
00865 B2710   1 Cytomegaloviral mononucleosis without complications          Cytomegaloviral mononucleosis without complications
00866 B2711   1 Cytomegaloviral mononucleosis with polyneuropathy            Cytomegaloviral mononucleosis with polyneuropathy
00867 B2712   1 Cytomegaloviral mononucleosis with meningitis                Cytomegaloviral mononucleosis with meningitis
00868 B2719   1 Cytomegaloviral mononucleosis with other complication        Cytomegaloviral mononucleosis with other complication
00869 B278    0 Other infectious mononucleosis                               Other infectious mononucleosis
00870 B2780   1 Other infectious mononucleosis without complication          Other infectious mononucleosis without complication
00871 B2781   1 Other infectious mononucleosis with polyneuropathy           Other infectious mononucleosis with polyneuropathy
00872 B2782   1 Other infectious mononucleosis with meningitis               Other infectious mononucleosis with meningitis
00873 B2789   1 Other infectious mononucleosis with other complication       Other infectious mononucleosis with other complication
00874 B279    0 Infectious mononucleosis, unspecified                        Infectious mononucleosis, unspecified
00875 B2790   1 Infectious mononucleosis, unspecified without complication   Infectious mononucleosis, unspecified without complication
00876 B2791   1 Infectious mononucleosis, unspecified with polyneuropathy    Infectious mononucleosis, unspecified with polyneuropathy
00877 B2792   1 Infectious mononucleosis, unspecified with meningitis        Infectious mononucleosis, unspecified with meningitis
00878 B2799   1 Infectious mononucleosis, unsp with other complication       Infectious mononucleosis, unspecified with other complication
00879 B30     0 Viral conjunctivitis                                         Viral conjunctivitis
00880 B300    1 Keratoconjunctivitis due to adenovirus                       Keratoconjunctivitis due to adenovirus
00881 B301    1 Conjunctivitis due to adenovirus                             Conjunctivitis due to adenovirus
00882 B302    1 Viral pharyngoconjunctivitis                                 Viral pharyngoconjunctivitis
00883 B303    1 Acute epidemic hemorrhagic conjunctivitis (enteroviral)      Acute epidemic hemorrhagic conjunctivitis (enteroviral)
00884 B308    1 Other viral conjunctivitis                                   Other viral conjunctivitis
00885 B309    1 Viral conjunctivitis, unspecified                            Viral conjunctivitis, unspecified
00886 B33     0 Other viral diseases, not elsewhere classified               Other viral diseases, not elsewhere classified
00887 B330    1 Epidemic myalgia                                             Epidemic myalgia
00888 B331    1 Ross River disease                                           Ross River disease
00889 B332    0 Viral carditis                                               Viral carditis
00890 B3320   1 Viral carditis, unspecified                                  Viral carditis, unspecified
00891 B3321   1 Viral endocarditis                                           Viral endocarditis
00892 B3322   1 Viral myocarditis                                            Viral myocarditis
00893 B3323   1 Viral pericarditis                                           Viral pericarditis
00894 B3324   1 Viral cardiomyopathy                                         Viral cardiomyopathy
00895 B333    1 Retrovirus infections, not elsewhere classified              Retrovirus infections, not elsewhere classified
00896 B334    1 Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS]          Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS]
00897 B338    1 Other specified viral diseases                               Other specified viral diseases
00898 B34     0 Viral infection of unspecified site                          Viral infection of unspecified site
00899 B340    1 Adenovirus infection, unspecified                            Adenovirus infection, unspecified
00900 B341    1 Enterovirus infection, unspecified                           Enterovirus infection, unspecified
00901 B342    1 Coronavirus infection, unspecified                           Coronavirus infection, unspecified
00902 B343    1 Parvovirus infection, unspecified                            Parvovirus infection, unspecified
00903 B344    1 Papovavirus infection, unspecified                           Papovavirus infection, unspecified
00904 B348    1 Other viral infections of unspecified site                   Other viral infections of unspecified site
00905 B349    1 Viral infection, unspecified                                 Viral infection, unspecified
00906 B35     0 Dermatophytosis                                              Dermatophytosis
00907 B350    1 Tinea barbae and tinea capitis                               Tinea barbae and tinea capitis
00908 B351    1 Tinea unguium                                                Tinea unguium
00909 B352    1 Tinea manuum                                                 Tinea manuum
00910 B353    1 Tinea pedis                                                  Tinea pedis
00911 B354    1 Tinea corporis                                               Tinea corporis
00912 B355    1 Tinea imbricata                                              Tinea imbricata
00913 B356    1 Tinea cruris                                                 Tinea cruris
00914 B358    1 Other dermatophytoses                                        Other dermatophytoses
00915 B359    1 Dermatophytosis, unspecified                                 Dermatophytosis, unspecified
00916 B36     0 Other superficial mycoses                                    Other superficial mycoses
00917 B360    1 Pityriasis versicolor                                        Pityriasis versicolor
00918 B361    1 Tinea nigra                                                  Tinea nigra
00919 B362    1 White piedra                                                 White piedra
00920 B363    1 Black piedra                                                 Black piedra
00921 B368    1 Other specified superficial mycoses                          Other specified superficial mycoses
00922 B369    1 Superficial mycosis, unspecified                             Superficial mycosis, unspecified
00923 B37     0 Candidiasis                                                  Candidiasis
00924 B370    1 Candidal stomatitis                                          Candidal stomatitis
00925 B371    1 Pulmonary candidiasis                                        Pulmonary candidiasis
00926 B372    1 Candidiasis of skin and nail                                 Candidiasis of skin and nail
00927 B373    0 Candidiasis of vulva and vagina                              Candidiasis of vulva and vagina
00928 B3731   1 Acute candidiasis of vulva and vagina                        Acute candidiasis of vulva and vagina
00929 B3732   1 Chronic candidiasis of vulva and vagina                      Chronic candidiasis of vulva and vagina
00930 B374    0 Candidiasis of other urogenital sites                        Candidiasis of other urogenital sites
00931 B3741   1 Candidal cystitis and urethritis                             Candidal cystitis and urethritis
00932 B3742   1 Candidal balanitis                                           Candidal balanitis
00933 B3749   1 Other urogenital candidiasis                                 Other urogenital candidiasis
00934 B375    1 Candidal meningitis                                          Candidal meningitis
00935 B376    1 Candidal endocarditis                                        Candidal endocarditis
00936 B377    1 Candidal sepsis                                              Candidal sepsis
00937 B378    0 Candidiasis of other sites                                   Candidiasis of other sites
00938 B3781   1 Candidal esophagitis                                         Candidal esophagitis
00939 B3782   1 Candidal enteritis                                           Candidal enteritis
00940 B3783   1 Candidal cheilitis                                           Candidal cheilitis
00941 B3784   1 Candidal otitis externa                                      Candidal otitis externa
00942 B3789   1 Other sites of candidiasis                                   Other sites of candidiasis
00943 B379    1 Candidiasis, unspecified                                     Candidiasis, unspecified
00944 B38     0 Coccidioidomycosis                                           Coccidioidomycosis
00945 B380    1 Acute pulmonary coccidioidomycosis                           Acute pulmonary coccidioidomycosis
00946 B381    1 Chronic pulmonary coccidioidomycosis                         Chronic pulmonary coccidioidomycosis
00947 B382    1 Pulmonary coccidioidomycosis, unspecified                    Pulmonary coccidioidomycosis, unspecified
00948 B383    1 Cutaneous coccidioidomycosis                                 Cutaneous coccidioidomycosis
00949 B384    1 Coccidioidomycosis meningitis                                Coccidioidomycosis meningitis
00950 B387    1 Disseminated coccidioidomycosis                              Disseminated coccidioidomycosis
00951 B388    0 Other forms of coccidioidomycosis                            Other forms of coccidioidomycosis
00952 B3881   1 Prostatic coccidioidomycosis                                 Prostatic coccidioidomycosis
00953 B3889   1 Other forms of coccidioidomycosis                            Other forms of coccidioidomycosis
00954 B389    1 Coccidioidomycosis, unspecified                              Coccidioidomycosis, unspecified
00955 B39     0 Histoplasmosis                                               Histoplasmosis
00956 B390    1 Acute pulmonary histoplasmosis capsulati                     Acute pulmonary histoplasmosis capsulati
00957 B391    1 Chronic pulmonary histoplasmosis capsulati                   Chronic pulmonary histoplasmosis capsulati
00958 B392    1 Pulmonary histoplasmosis capsulati, unspecified              Pulmonary histoplasmosis capsulati, unspecified
00959 B393    1 Disseminated histoplasmosis capsulati                        Disseminated histoplasmosis capsulati
00960 B394    1 Histoplasmosis capsulati, unspecified                        Histoplasmosis capsulati, unspecified
00961 B395    1 Histoplasmosis duboisii                                      Histoplasmosis duboisii
00962 B399    1 Histoplasmosis, unspecified                                  Histoplasmosis, unspecified
00963 B40     0 Blastomycosis                                                Blastomycosis
00964 B400    1 Acute pulmonary blastomycosis                                Acute pulmonary blastomycosis
00965 B401    1 Chronic pulmonary blastomycosis                              Chronic pulmonary blastomycosis
00966 B402    1 Pulmonary blastomycosis, unspecified                         Pulmonary blastomycosis, unspecified
00967 B403    1 Cutaneous blastomycosis                                      Cutaneous blastomycosis
00968 B407    1 Disseminated blastomycosis                                   Disseminated blastomycosis
00969 B408    0 Other forms of blastomycosis                                 Other forms of blastomycosis
00970 B4081   1 Blastomycotic meningoencephalitis                            Blastomycotic meningoencephalitis
00971 B4089   1 Other forms of blastomycosis                                 Other forms of blastomycosis
00972 B409    1 Blastomycosis, unspecified                                   Blastomycosis, unspecified
00973 B41     0 Paracoccidioidomycosis                                       Paracoccidioidomycosis
00974 B410    1 Pulmonary paracoccidioidomycosis                             Pulmonary paracoccidioidomycosis
00975 B417    1 Disseminated paracoccidioidomycosis                          Disseminated paracoccidioidomycosis
00976 B418    1 Other forms of paracoccidioidomycosis                        Other forms of paracoccidioidomycosis
00977 B419    1 Paracoccidioidomycosis, unspecified                          Paracoccidioidomycosis, unspecified
00978 B42     0 Sporotrichosis                                               Sporotrichosis
00979 B420    1 Pulmonary sporotrichosis                                     Pulmonary sporotrichosis
00980 B421    1 Lymphocutaneous sporotrichosis                               Lymphocutaneous sporotrichosis
00981 B427    1 Disseminated sporotrichosis                                  Disseminated sporotrichosis
00982 B428    0 Other forms of sporotrichosis                                Other forms of sporotrichosis
00983 B4281   1 Cerebral sporotrichosis                                      Cerebral sporotrichosis
00984 B4282   1 Sporotrichosis arthritis                                     Sporotrichosis arthritis
00985 B4289   1 Other forms of sporotrichosis                                Other forms of sporotrichosis
00986 B429    1 Sporotrichosis, unspecified                                  Sporotrichosis, unspecified
00987 B43     0 Chromomycosis and pheomycotic abscess                        Chromomycosis and pheomycotic abscess
00988 B430    1 Cutaneous chromomycosis                                      Cutaneous chromomycosis
00989 B431    1 Pheomycotic brain abscess                                    Pheomycotic brain abscess
00990 B432    1 Subcutaneous pheomycotic abscess and cyst                    Subcutaneous pheomycotic abscess and cyst
00991 B438    1 Other forms of chromomycosis                                 Other forms of chromomycosis
00992 B439    1 Chromomycosis, unspecified                                   Chromomycosis, unspecified
00993 B44     0 Aspergillosis                                                Aspergillosis
00994 B440    1 Invasive pulmonary aspergillosis                             Invasive pulmonary aspergillosis
00995 B441    1 Other pulmonary aspergillosis                                Other pulmonary aspergillosis
00996 B442    1 Tonsillar aspergillosis                                      Tonsillar aspergillosis
00997 B447    1 Disseminated aspergillosis                                   Disseminated aspergillosis
00998 B448    0 Other forms of aspergillosis                                 Other forms of aspergillosis
00999 B4481   1 Allergic bronchopulmonary aspergillosis                      Allergic bronchopulmonary aspergillosis
01000 B4489   1 Other forms of aspergillosis                                 Other forms of aspergillosis
01001 B449    1 Aspergillosis, unspecified                                   Aspergillosis, unspecified
01002 B45     0 Cryptococcosis                                               Cryptococcosis
01003 B450    1 Pulmonary cryptococcosis                                     Pulmonary cryptococcosis
01004 B451    1 Cerebral cryptococcosis                                      Cerebral cryptococcosis
01005 B452    1 Cutaneous cryptococcosis                                     Cutaneous cryptococcosis
01006 B453    1 Osseous cryptococcosis                                       Osseous cryptococcosis
01007 B457    1 Disseminated cryptococcosis                                  Disseminated cryptococcosis
01008 B458    1 Other forms of cryptococcosis                                Other forms of cryptococcosis
01009 B459    1 Cryptococcosis, unspecified                                  Cryptococcosis, unspecified
01010 B46     0 Zygomycosis                                                  Zygomycosis
01011 B460    1 Pulmonary mucormycosis                                       Pulmonary mucormycosis
01012 B461    1 Rhinocerebral mucormycosis                                   Rhinocerebral mucormycosis
01013 B462    1 Gastrointestinal mucormycosis                                Gastrointestinal mucormycosis
01014 B463    1 Cutaneous mucormycosis                                       Cutaneous mucormycosis
01015 B464    1 Disseminated mucormycosis                                    Disseminated mucormycosis
01016 B465    1 Mucormycosis, unspecified                                    Mucormycosis, unspecified
01017 B468    1 Other zygomycoses                                            Other zygomycoses
01018 B469    1 Zygomycosis, unspecified                                     Zygomycosis, unspecified
01019 B47     0 Mycetoma                                                     Mycetoma
01020 B470    1 Eumycetoma                                                   Eumycetoma
01021 B471    1 Actinomycetoma                                               Actinomycetoma
01022 B479    1 Mycetoma, unspecified                                        Mycetoma, unspecified
01023 B48     0 Other mycoses, not elsewhere classified                      Other mycoses, not elsewhere classified
01024 B480    1 Lobomycosis                                                  Lobomycosis
01025 B481    1 Rhinosporidiosis                                             Rhinosporidiosis
01026 B482    1 Allescheriasis                                               Allescheriasis
01027 B483    1 Geotrichosis                                                 Geotrichosis
01028 B484    1 Penicillosis                                                 Penicillosis
01029 B488    1 Other specified mycoses                                      Other specified mycoses
01030 B49     1 Unspecified mycosis                                          Unspecified mycosis
01031 B50     0 Plasmodium falciparum malaria                                Plasmodium falciparum malaria
01032 B500    1 Plasmodium falciparum malaria with cerebral complications    Plasmodium falciparum malaria with cerebral complications
01033 B508    1 Other severe and complicated Plasmodium falciparum malaria   Other severe and complicated Plasmodium falciparum malaria
01034 B509    1 Plasmodium falciparum malaria, unspecified                   Plasmodium falciparum malaria, unspecified
01035 B51     0 Plasmodium vivax malaria                                     Plasmodium vivax malaria
